Date,AAA,BBB,CCC,DDD
2025-01-01,100.85,50.64,191.51,79.93
2025-01-02,101.42,50.99,187.27,79.56
2025-01-03,101.70,50.01,186.45,78.71
2025-01-06,101.73,48.98,186.86,79.40
2025-01-07,103.13,49.90,179.84,79.70
2025-01-08,102.58,48.83,180.63,80.07
2025-01-09,104.85,48.61,186.16,78.20
2025-01-10,104.48,48.59,183.40,78.74
2025-01-13,104.22,49.41,188.01,78.21
2025-01-14,104.06,49.34,187.09,77.76
2025-01-15,103.21,49.71,183.02,77.47
2025-01-16,104.11,50.34,183.07,76.81
2025-01-17,101.97,50.44,182.88,77.32
2025-01-20,102.99,50.04,182.02,77.32
2025-01-21,103.10,50.46,188.14,77.55
2025-01-22,103.47,50.22,184.85,77.17
2025-01-23,102.80,50.29,189.26,76.73
2025-01-24,101.78,50.53,200.77,76.13
2025-01-27,100.63,50.25,198.99,75.77
2025-01-28,101.00,49.37,190.20,75.91
2025-01-29,100.31,49.64,190.12,76.04
2025-01-30,99.62,48.78,185.30,76.19
2025-01-31,97.55,48.89,185.04,76.75
2025-02-03,95.87,48.80,186.95,76.18
2025-02-04,97.34,48.01,183.29,77.17
2025-02-05,98.52,48.69,184.40,76.60
2025-02-06,96.26,49.27,192.26,76.42
2025-02-07,95.96,49.31,191.79,76.99
2025-02-10,97.23,50.06,187.96,77.27
2025-02-11,97.28,50.06,179.78,76.73
2025-02-12,98.73,50.77,179.89,77.41
2025-02-13,98.78,48.81,177.19,76.82
2025-02-14,99.27,49.37,171.53,76.41
2025-02-17,100.34,49.09,171.19,76.16
2025-02-18,100.58,50.12,178.85,75.91
2025-02-19,100.21,50.12,174.43,74.95
2025-02-20,100.68,48.44,173.11,75.41
2025-02-21,101.11,47.58,173.36,75.49
2025-02-24,102.72,48.57,176.78,75.63
2025-02-25,101.75,49.62,181.48,75.73
2025-02-26,101.40,50.22,180.59,75.95
2025-02-27,102.61,49.90,181.41,75.69
2025-02-28,101.62,49.80,178.68,76.25
2025-03-03,101.49,49.53,176.64,76.44
2025-03-04,101.78,49.43,169.67,76.19
2025-03-05,100.28,49.82,171.95,76.90
2025-03-06,100.66,49.54,165.58,76.75
2025-03-07,98.35,49.34,169.42,77.54
2025-03-10,97.62,49.86,168.16,77.65
2025-03-11,97.36,50.55,167.84,78.23
2025-03-12,97.57,49.75,164.69,78.32
2025-03-13,97.14,49.80,166.61,77.49
2025-03-14,97.88,48.43,167.72,78.70
2025-03-17,98.88,47.68,162.42,79.18
2025-03-18,99.72,46.78,165.73,79.08
2025-03-19,100.42,47.58,161.74,78.81
2025-03-20,101.62,48.35,157.49,78.59
2025-03-21,101.83,48.98,157.03,79.23
2025-03-24,102.46,49.34,159.12,79.15
2025-03-25,101.84,48.16,158.76,78.84
2025-03-26,101.08,47.51,157.69,79.78
2025-03-27,100.90,48.15,157.64,79.97
2025-03-28,99.21,49.01,158.28,79.46
2025-03-31,99.66,49.05,160.10,79.50
2025-04-01,99.20,48.13,163.18,79.32
2025-04-02,99.47,47.12,160.44,78.76
2025-04-03,100.23,46.83,161.32,79.31
2025-04-04,102.20,46.64,158.64,78.40
2025-04-07,101.32,45.15,152.30,79.18
2025-04-08,100.38,46.08,151.66,79.23
2025-04-09,100.15,45.52,157.60,79.00
2025-04-10,101.34,46.38,154.52,79.99
2025-04-11,100.53,46.21,149.58,79.69
2025-04-14,101.56,46.88,150.88,79.87
2025-04-15,100.75,47.73,150.47,79.78
